review,sentiment
"The food was amazing and the service was excellent!",Positive
"I had a terrible experience. The food was cold.",Negative
"Delicious meals and friendly staff.",Positive
"The place was dirty and the waiter was rude.",Negative
"Great atmosphere and tasty dishes.",Positive
"I will never come back here again.",Negative
"Highly recommend this restaurant.",Positive
"The food was bland and the service was slow.",Negative
"Fantastic flavors and cozy environment.",Positive
"Disappointed with the quality of the food.",Negative
